player_id,level,clan,ammo,lithium,neon,karma,success
33852,8,Elf,29,0,9,61,1
34308,9,Human,16,10,6,55,1
34943,3,Elf,10,0,9,79,0
34387,6,Human,15,7,8,55,1
34909,1,Elf,2,1,10,62,0
31485,4,Ork,3,16,16,81,0
32984,2,Human,6,13,14,75,0
33580,5,Elf,20,1,10,61,0
32585,2,Human,13,1,10,82,0
33996,2,Elf,2,3,10,75,0
32239,3,Ork,12,10,13,75,0
32428,21,Ork,34,13,5,53,1
33207,7,Elf,29,0,10,75,0
33691,10,Elf,5,1,9,60,1
32358,3,Human,30,0,10,57,0
31623,22,Human,88,12,5,52,1
34785,4,Ork,23,12,5,54,1
32409,2,Human,1,17,17,69,0
33284,8,Human,7,0,9,57,1
33936,12,Ork,20,2,9,64,1
32975,2,Human,11,1,10,79,0
32294,4,Human,9,0,10,84,0
33198,14,Elf,52,16,3,44,1
33931,2,Human,6,15,15,66,0
35036,2,Ork,17,7,11,88,0
34185,18,Elf,40,7,8,63,1
34251,5,Human,28,0,9,62,0
33425,5,Elf,3,9,12,62,0
34061,5,Elf,12,0,9,61,0
34340,4,Human,9,11,13,86,0
33416,5,Human,39,1,9,55,1
31736,3,Ork,10,3,10,64,0
34527,6,Human,46,3,9,52,1
35124,1,Human,1,19,18,88,0
32522,6,Elf,10,0,10,59,0
34601,3,Ork,1,15,15,77,0
34376,12,Elf,54,13,5,52,1
35067,26,Ork,15,17,2,50,1
33083,7,Ork,1,3,10,70,0
33479,4,Ork,4,0,10,61,0
32220,5,Human,1,16,16,82,0
35207,2,Ork,6,14,15,74,0
32256,2,Elf,22,0,10,85,0
35141,4,Human,48,8,7,49,1
34659,2,Elf,6,0,10,70,0
34816,6,Human,45,9,7,47,1
32173,17,Ork,50,16,3,47,1
31400,3,Ork,16,4,9,49,1
32365,8,Human,13,3,9,57,1
35140,3,Elf,8,11,13,66,0
34126,2,Elf,25,0,10,64,0
32321,5,Ork,28,1,9,57,1
32339,12,Human,24,7,8,65,1
32904,4,Elf,10,7,11,87,0
32923,18,Human,61,5,8,47,1
35178,5,Elf,79,13,5,61,1
32764,6,Ork,9,6,11,76,0
33274,6,Ork,16,9,7,48,1
35117,5,Ork,5,3,10,67,0
33461,14,Elf,88,8,7,59,1
31693,26,Human,43,13,5,45,1
31463,26,Elf,41,14,4,51,1
33355,3,Ork,2,13,14,73,0
32594,9,Elf,7,1,9,69,1
32964,4,Human,10,12,14,65,0
31786,10,Elf,8,0,9,70,1
32882,11,Elf,29,1,9,55,1
31833,2,Human,3,18,17,71,0
33423,3,Human,32,5,8,50,1
34866,1,Human,2,13,14,70,0
33342,4,Human,14,2,9,53,1
32878,1,Ork,12,5,11,64,0
31509,17,Human,40,15,4,52,1
32750,1,Elf,4,6,11,91,0
32074,3,Human,37,7,8,52,1
32869,4,Elf,48,2,9,55,1
32469,4,Human,5,2,10,62,0
33492,6,Human,12,0,10,69,0
34861,1,Elf,4,0,10,59,0
32337,3,Human,12,7,11,71,0
31445,11,Human,19,1,9,60,1
31335,11,Ork,8,5,8,49,1
32636,3,Elf,42,1,9,66,1
34083,1,Elf,3,8,12,93,0
33890,5,Ork,13,13,14,93,0
32740,17,Elf,17,9,7,49,1
34815,5,Elf,11,7,11,74,0
33143,3,Ork,2,16,16,77,0
32629,11,Ork,33,3,9,64,1
34003,1,Elf,2,8,12,64,0
33784,3,Ork,3,1,10,61,0
32085,2,Human,11,9,12,90,0
32979,4,Elf,3,0,10,84,0
34422,2,Ork,12,4,10,87,0
34662,23,Human,20,18,2,50,1
32685,6,Ork,4,4,10,60,0
35167,4,Ork,23,1,10,81,0
34362,5,Elf,7,5,11,83,0
34503,2,Ork,15,0,9,63,0
32133,14,Human,8,3,9,51,1
32315,20,Elf,10,7,8,48,1
34018,12,Ork,108,15,4,63,1
31840,25,Human,33,18,2,42,1
34708,10,Human,35,1,9,62,1
34112,10,Elf,10,1,9,53,1
34907,3,Ork,4,0,9,58,0
31636,4,Elf,4,7,11,71,0
35227,1,Elf,15,9,12,80,0
34502,3,Elf,4,0,10,66,0
33707,3,Elf,5,0,10,58,0
34488,8,Elf,11,0,10,60,0
33011,3,Ork,5,5,11,66,0
33192,2,Elf,1,6,11,61,0
34598,27,Elf,138,16,3,58,1
33399,5,Ork,15,5,11,75,0
35174,8,Elf,9,5,8,71,1
33300,12,Elf,69,8,7,49,1
31643,3,Human,31,3,9,51,1
33826,8,Ork,12,0,9,71,0
33686,10,Elf,18,3,9,51,1
35033,3,Ork,11,18,17,85,0
33268,5,Ork,31,0,9,74,0
32484,4,Elf,26,0,10,65,0
31306,3,Elf,8,13,14,69,0
32232,1,Ork,7,10,13,77,0
31288,8,Elf,46,1,9,77,1
33884,16,Elf,36,17,2,63,1
31547,3,Elf,2,2,10,70,0
34906,5,Elf,11,19,18,89,0
33026,13,Human,45,5,8,51,1
31631,4,Elf,13,13,14,69,0
33811,7,Human,23,0,10,64,0
33155,8,Human,38,6,8,47,1
31292,3,Human,4,4,10,66,0
31430,20,Elf,79,9,7,51,1
32162,2,Ork,16,0,10,75,0
33785,1,Human,3,5,11,60,0
32913,3,Human,19,0,10,56,0
32895,8,Ork,10,0,10,78,0
34988,6,Elf,11,6,11,68,0
34567,5,Elf,20,0,10,69,0
33735,26,Human,26,13,5,50,1
34885,9,Ork,54,1,9,57,1
33896,1,Ork,12,16,16,73,0
32632,2,Ork,12,16,16,66,0
34944,18,Ork,53,5,8,64,1
34544,14,Elf,24,5,8,51,1
33510,7,Human,8,1,10,81,0
34709,6,Human,14,4,10,73,0
31837,1,Human,9,3,10,65,0
34577,26,Human,54,14,4,44,1
32488,5,Elf,4,1,10,60,0
32892,5,Human,8,8,12,65,0
33984,6,Human,13,2,9,50,1
31755,7,Ork,20,0,9,77,1
31473,6,Elf,15,1,10,64,0
33849,1,Elf,7,16,16,87,0
32045,11,Ork,20,0,9,59,0
31969,7,Elf,37,7,8,59,1
33436,5,Human,12,0,10,82,0
34741,13,Elf,89,13,5,59,1
34377,5,Ork,10,6,11,78,0
34748,10,Elf,5,0,9,64,1
31810,15,Ork,69,5,8,60,1
34474,2,Ork,21,3,10,74,0
33663,1,Elf,1,16,16,92,0
33880,3,Elf,18,2,10,66,0
33925,7,Elf,27,1,9,58,1
33353,7,Ork,9,0,10,68,0
32236,4,Ork,8,2,9,64,1
32372,2,Ork,3,17,17,82,0
32815,4,Human,6,4,9,49,1
34419,1,Elf,21,3,10,75,0
34190,3,Ork,5,13,14,94,0
32300,6,Ork,19,13,5,50,1
33829,4,Ork,25,1,9,58,1
34629,10,Human,36,6,8,52,1
34891,5,Elf,2,13,14,76,0
31733,5,Ork,26,6,8,59,1
33560,3,Ork,2,10,13,91,0
35000,5,Ork,6,6,11,72,0
34656,7,Ork,4,0,10,59,0
34771,13,Ork,20,1,9,69,1
34755,2,Ork,3,6,11,84,0
34084,6,Human,33,5,8,63,1
33257,5,Ork,2,6,11,65,0
32825,3,Elf,11,12,14,95,0
32849,9,Elf,9,5,8,57,1
33783,22,Ork,45,18,2,62,1
35182,2,Ork,3,16,16,65,0
34366,12,Ork,5,2,9,69,1
33493,1,Ork,7,12,14,85,0
32109,3,Elf,6,2,9,57,1
34498,19,Human,28,7,8,47,1
33175,6,Human,39,1,9,57,1
33158,12,Elf,32,2,9,54,1
33325,3,Human,3,0,9,60,0
34540,3,Ork,2,16,16,66,0
33903,5,Ork,22,0,10,85,0
31872,5,Ork,4,1,10,67,0
32736,5,Ork,20,2,10,59,0
34495,3,Ork,7,2,10,67,0
31340,10,Elf,7,1,9,55,1
33945,4,Ork,8,17,17,97,0
31772,3,Ork,6,0,10,66,0
33377,1,Ork,12,17,17,69,0
34991,4,Elf,30,0,9,61,0
33697,1,Elf,25,1,10,61,0
31783,11,Ork,28,15,4,45,1
35158,5,Human,22,1,9,59,1
35136,7,Ork,62,3,9,71,1
33020,2,Ork,1,18,17,73,0
33704,26,Ork,54,16,3,52,1
32364,4,Ork,14,9,12,92,0
34750,5,Human,2,5,11,84,0
34123,8,Ork,6,0,10,70,0
33231,4,Human,9,4,10,61,0
33895,3,Human,4,0,10,71,0
31413,3,Human,5,6,11,63,0
34698,9,Elf,4,0,9,52,1
34665,5,Elf,3,3,10,82,0
31250,8,Elf,3,0,10,82,0
33212,20,Ork,26,12,5,59,1
32094,1,Ork,7,10,13,71,0
34688,4,Ork,19,8,7,57,1
32015,8,Elf,16,9,7,57,1
31332,7,Ork,4,0,9,64,1
33952,26,Human,16,16,3,53,1
34305,4,Ork,5,16,16,70,0
33069,6,Ork,3,7,11,90,0
31577,1,Elf,6,9,12,63,0
34545,2,Ork,7,0,9,82,0
33994,1,Human,5,13,14,93,0
32874,4,Elf,2,16,16,77,0
31781,2,Human,5,13,14,73,0
34664,2,Ork,6,1,10,61,0
32748,9,Ork,23,16,3,58,1
32445,6,Elf,2,8,12,93,0
35084,3,Elf,5,0,10,63,0
32437,3,Human,22,3,10,62,0
34586,7,Elf,50,16,3,63,1
33418,5,Human,8,0,9,61,0
33304,7,Elf,25,0,9,63,0
31379,3,Human,22,4,9,63,1
32729,4,Elf,28,0,10,70,0
33857,7,Elf,6,0,9,62,1
34594,1,Human,3,2,10,67,0
34020,2,Human,14,0,10,63,0
33728,12,Elf,59,2,9,62,1
31883,1,Ork,3,11,13,72,0
34702,7,Elf,37,13,5,60,1
34774,15,Elf,24,6,8,52,1
33859,4,Elf,4,0,10,69,0
33073,1,Human,11,18,17,65,0
34464,3,Ork,16,4,10,79,0
32883,14,Human,22,13,5,59,1
34948,10,Elf,34,2,9,59,1
31451,3,Human,3,0,10,74,0
33338,1,Ork,11,16,16,70,0
34619,6,Ork,6,0,10,77,0
33722,5,Ork,20,0,10,84,0
35037,23,Human,29,14,4,60,1
32370,12,Ork,20,11,6,62,1
34579,5,Human,3,5,11,69,0
33397,6,Elf,1,11,13,78,0
32934,6,Ork,3,10,13,72,0
32285,5,Human,13,9,12,69,0
34333,4,Ork,24,2,9,55,1
34606,6,Human,9,0,9,53,1
34784,2,Human,5,8,12,73,0
31968,4,Ork,3,2,10,67,0
34370,6,Elf,50,13,5,48,1
32818,9,Elf,3,0,10,56,0
32862,2,Ork,3,6,11,68,0
33941,4,Ork,69,11,6,60,1
32159,5,Ork,5,0,9,60,1
32697,3,Elf,11,6,11,67,0
31517,22,Ork,99,13,5,53,1
31255,13,Human,42,15,4,45,1
33587,6,Human,8,0,10,84,0
34032,5,Elf,12,1,9,56,1
34617,20,Elf,18,12,5,58,1
31271,1,Elf,11,5,11,64,0
33914,3,Ork,11,15,15,77,0
34818,5,Ork,11,3,10,62,0
34842,7,Human,1,2,10,74,0
33298,4,Ork,62,6,8,66,1
32097,11,Elf,10,0,9,76,1
33537,6,Ork,6,2,10,75,0
34149,6,Elf,2,4,10,79,0
33456,11,Human,25,5,8,58,1
33239,2,Elf,4,5,11,72,0
34961,32,Elf,151,18,2,46,1
32761,7,Human,10,2,10,59,0
33591,1,Elf,7,5,11,77,0
33951,6,Human,33,0,9,78,0
33764,6,Ork,13,8,7,60,1
34694,4,Elf,30,3,9,71,1
34360,11,Ork,39,0,9,58,1
32899,5,Ork,12,10,13,81,0
32954,3,Ork,31,2,9,55,1
32756,2,Elf,1,10,13,76,0
33006,2,Ork,11,6,11,66,0
31915,10,Human,128,13,5,44,1
34975,2,Elf,8,8,12,69,0
35088,7,Elf,58,9,7,65,1
33635,6,Elf,48,8,7,66,1
34895,3,Ork,6,8,12,92,0
34254,10,Elf,19,8,7,49,1
33117,22,Ork,133,19,1,55,1
35144,7,Elf,28,9,7,57,1
31539,4,Elf,4,3,10,59,0
32927,1,Elf,2,19,18,70,0
31703,2,Human,11,11,13,94,0
31378,19,Elf,96,17,2,45,1
34520,3,Human,28,0,10,57,0
35162,18,Elf,35,15,4,49,1
32340,2,Elf,2,11,13,92,0
33103,2,Elf,5,11,13,67,0
31521,6,Ork,42,6,8,58,1
34505,21,Human,71,14,4,59,1
34876,5,Human,5,12,14,77,0
33306,3,Human,24,6,8,48,1
32113,9,Human,90,7,8,66,1
32155,5,Elf,3,1,10,66,0
33361,3,Elf,10,1,10,61,0
34160,9,Elf,55,14,4,44,1
32914,5,Elf,7,11,13,76,0
31893,3,Ork,10,0,10,86,0
33702,5,Human,9,6,11,73,0
32310,6,Human,3,0,9,70,1
31537,8,Elf,26,5,8,53,1
32392,11,Ork,54,5,8,57,1
34847,2,Elf,9,0,10,73,0
32689,32,Ork,56,19,1,54,1
34506,12,Elf,51,5,8,60,1
33821,10,Elf,39,0,9,71,1
34241,1,Human,20,4,10,65,0
32938,3,Elf,17,1,10,67,0
33294,1,Human,15,4,10,75,0
33159,12,Human,83,5,8,54,1
32877,1,Elf,2,5,11,73,0
34383,7,Human,4,1,10,63,0
33741,9,Elf,58,8,7,53,1
31844,5,Human,9,4,10,83,0
35152,20,Elf,59,17,2,44,1
32554,14,Human,34,5,8,59,1
33616,4,Ork,2,18,17,75,0
32635,3,Ork,16,1,10,64,0
33628,4,Human,13,0,10,71,0
34327,3,Ork,6,0,10,64,0
34177,4,Human,16,0,9,65,1
34749,3,Elf,8,9,12,64,0
33248,5,Human,13,4,10,67,0
32455,7,Elf,23,2,9,67,1
34770,4,Elf,4,4,10,85,0
34830,14,Human,111,16,3,52,1
34853,9,Elf,12,0,10,62,0
34282,7,Ork,2,0,10,59,0
34409,4,Human,14,6,11,91,0
32380,3,Human,6,9,12,64,0
34722,2,Human,6,2,10,83,0
34836,6,Elf,2,6,11,65,0
32043,1,Elf,2,11,13,64,0
34171,8,Elf,23,5,8,62,1
33966,4,Ork,8,0,9,61,1
31756,5,Elf,7,3,10,61,0
33779,8,Elf,22,5,8,61,1
32931,1,Human,3,1,10,66,0
32614,22,Elf,81,16,3,44,1
34079,20,Elf,53,14,4,62,1
32255,4,Ork,5,0,9,60,0
34047,2,Elf,45,0,9,64,1
34278,15,Ork,15,4,9,61,1
33554,7,Ork,32,2,9,59,1
33511,4,Elf,12,0,10,64,0
32754,13,Ork,40,2,9,55,1
32586,6,Human,2,3,10,72,0
34418,10,Ork,39,4,9,62,1
32218,2,Human,10,3,10,67,0
32638,3,Human,9,2,10,74,0
32069,1,Ork,7,16,16,67,0
34350,28,Human,66,19,1,42,1
33001,7,Ork,60,3,9,55,1
34825,14,Human,113,13,5,66,1
31686,10,Elf,6,5,8,52,1
33271,4,Elf,5,1,10,62,0
33950,11,Elf,28,10,6,51,1
32192,2,Human,5,4,10,79,0
31784,2,Elf,6,18,17,94,0
32460,17,Ork,20,6,8,69,1
32033,5,Human,19,3,10,74,0
34651,1,Ork,4,3,10,87,0
33642,8,Elf,8,1,10,58,0
33619,13,Elf,22,1,9,75,1
33891,13,Human,17,1,9,64,1
34668,4,Elf,21,0,9,55,1
34293,29,Elf,14,16,3,49,1
33911,1,Ork,2,7,11,65,0
33503,2,Human,4,18,17,82,0
34067,8,Elf,16,1,10,62,0
34302,20,Ork,25,18,2,57,1
32549,21,Human,41,16,3,49,1
32084,25,Human,52,12,5,56,1
32412,5,Ork,6,13,14,84,0
32131,1,Ork,5,5,11,70,0
34396,1,Elf,1,15,15,74,0
31771,1,Human,12,11,13,92,0
34198,6,Elf,41,12,5,52,1
34700,1,Human,1,11,13,92,0
31862,1,Ork,1,15,15,80,0
34119,7,Elf,2,0,10,60,0
31497,2,Human,12,12,14,90,0
31903,16,Human,95,8,7,51,1
32787,3,Ork,11,1,10,71,0
34445,3,Human,5,1,9,66,1
32565,3,Ork,6,6,11,69,0
32145,5,Human,11,9,7,49,1
31952,5,Elf,5,3,10,60,0
32448,4,Ork,20,0,10,59,0
32813,3,Elf,6,3,9,59,1
32308,1,Elf,3,9,12,63,0
31798,2,Elf,17,2,10,74,0
31431,4,Elf,11,13,14,64,0
31845,10,Elf,11,5,8,66,1
32191,3,Ork,3,2,10,69,0
32786,14,Elf,19,2,9,55,1
32743,2,Elf,1,13,14,87,0
32714,2,Human,1,6,11,65,0
32418,2,Ork,7,8,12,92,0
31906,7,Human,34,9,7,58,1
32853,19,Elf,39,8,7,60,1
32503,10,Ork,8,0,9,67,1
31979,4,Human,32,0,10,70,0
32297,9,Ork,48,16,3,58,1
32976,21,Human,27,15,4,54,1
32778,4,Human,3,4,10,88,0
32007,2,Ork,14,8,12,62,0
31501,16,Human,56,3,9,74,1
32184,7,Elf,6,1,9,52,1
33860,10,Elf,32,1,9,75,1
33588,10,Human,15,4,9,61,1
31587,4,Human,4,0,9,60,0
32595,18,Human,78,18,2,49,1
32425,3,Ork,4,1,10,80,0
32023,11,Human,35,6,8,47,1
32175,6,Elf,12,4,9,55,1
35223,3,Human,9,0,10,72,0
34285,4,Human,18,6,11,67,0
34026,2,Elf,17,1,9,64,1
33718,7,Human,51,8,7,49,1
32741,10,Ork,16,10,6,59,1
31917,6,Ork,17,5,11,70,0
33685,4,Elf,23,0,10,74,0
32607,9,Human,3,0,9,77,0
32630,3,Elf,9,3,10,75,0
34077,3,Elf,6,0,9,75,1
34467,13,Ork,53,11,6,45,1
32053,5,Human,14,0,9,52,1
34107,2,Human,6,5,11,83,0
34635,4,Ork,7,10,13,68,0
33968,2,Elf,22,2,10,62,0
32683,4,Human,44,3,9,50,1
31632,9,Human,7,0,10,68,0
35187,2,Human,40,0,9,66,1
34284,7,Elf,4,3,10,72,0
33743,9,Elf,16,0,9,59,1
32551,7,Human,9,0,10,67,0
31474,1,Human,11,1,10,84,0
31286,8,Ork,52,2,9,76,1
31742,4,Human,4,16,16,70,0
34729,2,Elf,13,16,16,81,0
34264,2,Human,1,19,18,70,0
33795,5,Elf,5,13,14,92,0
31734,1,Human,3,19,18,85,0
32621,1,Elf,6,0,10,68,0
31464,5,Elf,11,5,11,62,0
34676,2,Human,4,4,10,91,0
33085,25,Ork,19,18,2,45,1
32866,19,Human,89,11,6,53,1
33557,8,Elf,4,0,10,82,0
33586,9,Ork,10,0,10,67,0
33004,4,Ork,12,4,9,64,1
34007,4,Ork,3,6,11,62,0
32534,3,Elf,5,1,10,70,0
34452,2,Elf,13,6,11,68,0
35027,4,Human,9,7,11,63,0
31560,15,Elf,30,11,6,62,1
34589,2,Elf,4,19,18,77,0
32839,1,Ork,1,12,14,71,0
33536,3,Human,8,3,10,69,0
34908,7,Human,7,0,9,60,0
34378,3,Human,12,3,10,62,0
33971,5,Ork,13,14,15,88,0
35066,4,Elf,21,3,10,86,0
32732,5,Ork,9,0,10,73,0
31808,3,Ork,10,5,11,74,0
33088,8,Human,5,2,9,62,1
32126,24,Elf,35,16,3,48,1
34953,3,Ork,9,0,9,59,0
31608,10,Human,128,13,5,56,1
33988,11,Human,24,0,9,55,1
31807,10,Elf,13,3,9,57,1
34120,5,Elf,6,5,11,79,0
34780,2,Human,8,0,9,67,1
33314,8,Human,52,6,8,71,1
32273,7,Elf,5,2,10,75,0
35190,17,Human,84,16,3,53,1
32254,9,Elf,5,0,10,68,0
33694,10,Elf,26,14,4,51,1
35097,11,Human,6,4,9,59,1
31309,4,Human,3,16,16,73,0
31450,26,Ork,42,16,3,45,1
32267,1,Elf,2,11,13,69,0
32182,4,Elf,5,1,10,87,0
32973,2,Ork,34,0,9,58,0
31710,7,Elf,11,0,10,64,0
33917,9,Ork,54,1,9,61,1
33336,13,Human,50,4,9,50,1
32627,4,Ork,10,4,9,59,1
31794,5,Ork,14,2,10,70,0
31875,6,Ork,60,18,2,45,1
32604,5,Elf,12,4,9,51,1
31731,4,Elf,14,12,5,47,1
35044,1,Elf,6,16,16,89,0
33113,4,Ork,12,0,10,76,0
34595,7,Ork,18,0,10,61,0
31720,10,Ork,21,0,9,55,1
33157,2,Human,12,18,17,85,0
34929,4,Human,8,0,9,60,1
32600,4,Ork,25,11,6,49,1
32266,32,Ork,54,19,1,45,1
32427,8,Ork,38,11,6,47,1
33986,8,Human,130,19,1,49,1
35238,4,Human,28,0,9,65,0
34147,4,Human,2,6,11,76,0
34615,5,Ork,21,3,10,64,0
34552,17,Elf,14,6,8,47,1
35075,3,Ork,16,9,12,68,0
33474,10,Elf,51,8,7,69,1
33064,5,Elf,23,0,9,75,0
33448,4,Human,13,17,17,66,0
32458,3,Elf,11,6,11,62,0
31902,2,Ork,10,10,13,88,0
33810,14,Ork,41,10,6,64,1
34846,4,Ork,19,0,9,53,1
33434,8,Human,15,0,10,60,0
31803,3,Ork,19,5,11,64,0
34303,4,Human,2,5,11,63,0
31249,6,Ork,13,0,10,84,0
34869,4,Ork,14,1,10,59,0
33615,9,Ork,58,4,9,52,1
32757,8,Elf,14,0,10,68,0
32795,3,Ork,6,5,11,64,0
31836,1,Ork,20,2,10,63,0
31526,2,Ork,5,19,18,83,0
34845,12,Elf,6,1,9,65,1
31362,1,Elf,8,8,12,84,0
32031,6,Elf,13,9,12,63,0
34231,5,Human,8,4,9,65,1
34268,2,Human,8,8,12,86,0
34453,9,Ork,10,7,8,52,1
35065,2,Elf,9,8,12,92,0
33218,1,Elf,5,14,15,94,0
31640,1,Elf,8,5,11,67,0
33075,5,Ork,37,3,9,50,1
35017,9,Ork,3,0,9,54,0
34508,1,Ork,2,12,14,65,0
34890,14,Elf,93,9,7,67,1
34682,5,Human,13,0,10,62,0
33641,12,Ork,31,11,6,64,1
31770,10,Elf,13,5,8,50,1
32610,11,Ork,41,2,9,72,1
33929,5,Elf,9,5,11,64,0
35153,5,Human,30,0,10,58,0
32388,9,Human,9,6,8,57,1
32779,9,Human,14,0,10,79,0
34444,1,Elf,2,10,13,64,0
31985,9,Human,11,0,10,60,0
33815,6,Human,3,4,10,69,0
31269,5,Ork,12,8,12,62,0
32623,12,Ork,51,11,6,50,1
33932,12,Ork,20,17,2,51,1
31927,6,Ork,15,2,10,68,0
32193,16,Elf,19,5,8,72,1
32077,10,Human,4,0,10,67,0
34131,24,Human,43,13,5,45,1
33495,4,Ork,5,18,17,89,0
